Limit	Thresh.	Prec.	Rec.	F1
12	0.95	0.0000	0.0000	0.0000
13	0.00	0.9597	0.9597	0.9597
13	0.05	0.9597	0.9597	0.9597
13	0.10	0.9572	0.9572	0.9572
13	0.15	0.9572	0.9572	0.9572
13	0.20	0.9572	0.9572	0.9572
13	0.25	0.9572	0.9572	0.9572
13	0.30	0.9547	0.9547	0.9547
13	0.35	0.9471	0.9471	0.9471
13	0.40	0.9345	0.9345	0.9345
13	0.45	0.8992	0.8992	0.8992
13	0.50	0.8338	0.8338	0.8338
13	0.55	0.7909	0.7909	0.7909
13	0.60	0.6977	0.6977	0.6977
13	0.65	0.6121	0.6121	0.6121
13	0.70	0.5416	0.5416	0.5416
13	0.75	0.4509	0.4509	0.4509
13	0.80	0.3249	0.3249	0.3249
13	0.85	0.1914	0.1914	0.1914
13	0.90	0.0428	0.0428	0.0428
13	0.95	0.0000	0.0000	0.0000
14	0.00	0.9597	0.9597	0.9597
14	0.05	0.9597	0.9597	0.9597
14	0.10	0.9572	0.9572	0.9572
14	0.15	0.9572	0.9572	0.9572
14	0.20	0.9572	0.9572	0.9572
14	0.25	0.9572	0.9572	0.9572
14	0.30	0.9547	0.9547	0.9547
14	0.35	0.9471	0.9471	0.9471
14	0.40	0.9345	0.9345	0.9345
14	0.45	0.8992	0.8992	0.8992
14	0.50	0.8338	0.8338	0.8338
14	0.55	0.7909	0.7909	0.7909
14	0.60	0.6977	0.6977	0.6977
14	0.65	0.6121	0.6121	0.6121
14	0.70	0.5416	0.5416	0.5416
14	0.75	0.4509	0.4509	0.4509
14	0.80	0.3249	0.3249	0.3249
14	0.85	0.1914	0.1914	0.1914
14	0.90	0.0428	0.0428	0.0428
14	0.95	0.0000	0.0000	0.0000
15	0.00	0.9597	0.9597	0.9597
15	0.05	0.9597	0.9597	0.9597
15	0.10	0.9572	0.9572	0.9572
15	0.15	0.9572	0.9572	0.9572
15	0.20	0.9572	0.9572	0.9572
15	0.25	0.9572	0.9572	0.9572
15	0.30	0.9547	0.9547	0.9547
15	0.35	0.9471	0.9471	0.9471
15	0.40	0.9345	0.9345	0.9345
15	0.45	0.8992	0.8992	0.8992
15	0.50	0.8338	0.8338	0.8338
15	0.55	0.7909	0.7909	0.7909
15	0.60	0.6977	0.6977	0.6977
15	0.65	0.6121	0.6121	0.6121
15	0.70	0.5416	0.5416	0.5416
15	0.75	0.4509	0.4509	0.4509
15	0.80	0.3249	0.3249	0.3249
15	0.85	0.1914	0.1914	0.1914
15	0.90	0.0428	0.0428	0.0428
15	0.95	0.0000	0.0000	0.0000

Best Precision (doc avg): 0.9597	Limit: 15	Threshold: 0.05
Best    Recall (doc avg): 0.9597	Limit: 15	Threshold: 0.05
Best  F1 score (doc avg): 0.9597	Limit: 15	Threshold: 0.05
Best              NDCG@5: 0.9849	Limit: 15	Threshold: 0.05
Best             NDCG@10: 0.9849	Limit: 15	Threshold: 0.05
Documents evaluated:	397
